2026-04-27T14:42:17.602+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Starting MedicalAppointmentSystemApplication using Java 17.0.18 with PID 44272 (C:\Users\user\IdeaProjects\medical-appointment-system\target\classes started by user in C:\Users\user\IdeaProjects\medical-appointment-system)
2026-04-27T14:42:17.613+03:00 DEBUG 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-27T14:42:17.614+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : No active profile set, falling back to 1 default profile: "default"
2026-04-27T14:42:18.966+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27T14:42:19.092+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2026-04-27T15:42:36.702+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 16 мс
2026-04-27T15:42:36.718+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 25 мс
2026-04-27T15:42:43.964+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:42:43.982+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:42:46.694+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:42:46.704+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 10 мс
2026-04-27T15:42:46.715+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 11 мс
2026-04-27T15:42:46.723+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 5 мс
2026-04-27T15:43:07.196+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.updateDoctor(..)] выполнен за 12 мс
2026-04-27T15:43:07.236+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 5 мс
2026-04-27T15:46:07.953+03:00  INFO 44272 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-27T15:46:07.953+03:00  INFO 44272 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2026-04-27T15:46:07.966+03:00  INFO 44272 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
